epoch,train_loss,val_loss_avg,val_loss_temp,val_loss_spa,val_loss_temp_spa
0,-0.5365119486395685,-0.7072105665741675,-0.716395868046554,-0.686652983526798,-0.7185828481491504
1,-0.7164368433513543,-0.7265702738919289,-0.7344340786232537,-0.7093185140026758,-0.735958229049857
2,-0.7378036659172673,-0.7406172675486963,-0.7473738055210747,-0.7255646846429344,-0.7489133124820796
3,-0.7512917331871717,-0.7497371854145721,-0.7560045230289401,-0.7358396658139214,-0.7573673674008549
4,-0.7598201436621106,-0.7556628244835268,-0.7616059967474714,-0.7424358752108694,-0.7629466014922398
5,-0.7677697821852321,-0.7629819484156527,-0.7684519775761808,-0.7506803730848384,-0.769813494585939
6,-0.7748397333767535,-0.7694151635059582,-0.7748138581959534,-0.7573372165013754,-0.7760944158205458
7,-0.7806554598300095,-0.7734248294025815,-0.7785878862380945,-0.7620580087686917,-0.7796285932009585
8,-0.7854486352624094,-0.7777294097839382,-0.7827143702715856,-0.7665923792118685,-0.7838814798683609
9,-0.7895312484434194,-0.7813043462368331,-0.7860762434306594,-0.7705268308308406,-0.7873099644489993
10,-0.7933453654570662,-0.7846515237977659,-0.7893546298150506,-0.7741403562627238,-0.7904595853155233
11,-0.796636582296296,-0.7863022592552888,-0.7906240893089749,-0.7762994586236477,-0.7919832298332442
12,-0.799372336317083,-0.7877273505501609,-0.7921967609986992,-0.7775981599371057,-0.7933871307146779
13,-0.8017275782096139,-0.7907321784266381,-0.7950640674365731,-0.781171446849071,-0.7959610209942702
14,-0.8037774533469204,-0.7922391258642266,-0.7965185425502398,-0.7826667099029523,-0.7975321251394879
15,-0.8055371641060464,-0.7936259965101198,-0.7978509324777806,-0.7841472850783203,-0.7988797719742585
